<<<<<<< HEAD
﻿title,image,category,description
শ্রী যুগেশ্বর শর্মা জীবনী — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjkKvUWyft1PcrcmC7Jv7sCn8SXzS0Mvo5MqGELaGpnmRWA_XmLYMAZOyj_2DDJX1eTXkTfLZ77Ac6UYgR2nqIqrlzd4zsAIBNcjtmVG7xzpceQOX0tiXXna0R3IbX0KuHhqCRY0-FUQig/s400/Yogeshwar-sharma-life-history.jpg,জীবনী,নিংশিং চে-তে প্রকাশিত “শ্রী যুগেশ্বর শর্মা জীবনী” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১৭ জুন ২০২৫।
রসিক নাগর কালা | Rosiko Nagor Kala | হোলি কির্তনর এলা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj6Rp_9AYlv0i1XifBaRE10P_G9i-i1WVretqhoCEsnjZbt6olaJzPFapoK1DXCdkV459SadqRUtLw67G2ZIqFhSxb4mWXFWI8x9gD6YussKlM_Mg_Iyj9qcOPCA8BsTwg21_70tJ3Elgh_ziigv9XF4WVWr5kD3gSLUgx_8c4lh78Y3ZGHal0M1xt0/s400/Rosiko%20Nagor%20Kala%20Thumb.png,ইমার ঠারর এলা,নিংশিং চে-তে প্রকাশিত “রসিক নাগর কালা | Rosiko Nagor Kala | হোলি কির্তনর এলা” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১৭ জুন ২০২৫।
মিয়ানমারে আমার মানু — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjwcRV8ey0d9mhq4Qvj0deslnqJ9mUKAQhjMCLV8nhLuNdnP1in6U1XkC4ZyRmafGhEi1X44vtOxDi6JmAasatw-xC0_57f2_psld2bJeobBMCYjJaWucFOlLNCeG7OuQ2s2g31GqEOoNvxRrMAzxz7ymDfeIkW00m0S3O2ILlAQykM0PzfdL7mb3ukCLtJ/s1536/Myanmar-Bishnupriya-Manipuri-History-Ningshingche.png,ইতিহাস,নিংশিং চে-তে প্রকাশিত “মিয়ানমারে আমার মানু” লেখাটির ফিচার্ড ছবি। লেখক: সুরজিত সিংহ শিশির; প্রকাশ: ১৭ জুন ২০২৫।
মিয়ানমারে মণিপুরী বন্দি — প্রসঙ্গচিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgWTpWebGs7Zqz-Qelp-9d00BcRaPW4qrd5MplNvnSBa6KbZS7lbirOd38EfsEdY9GyScweB1CxlySVTtM5-wQbyzf5lrBn005bSQAB2GrF19zsrfF84_SQBEWWD_BGRcn78sLFaFr28DZhXJ_iqalU9UlvgQ5N-wg09JGTaCw_35JnbON5bswAcOEzS2Nv/s1536/Manipuri-Prisoner-in-Myanmar-Ningshingche.png,ইতিহাস,নিংশিং চে-তে প্রকাশিত “মিয়ানমারে আমার মানু” লেখায় ব্যবহৃত মিয়ানমারে মণিপুরী বন্দিদের ইতিহাসের প্রসঙ্গচিত্র। লেখক: সুরজিত সিংহ শিশির; প্রকাশ: ১৭ জুন ২০২৫।
মিয়ানমারে মণিপুরী শ্রমিকেরা — প্রসঙ্গচিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhLnxCMQt2hayODF9ielfzEWS_7TIgA2C0dberemPouNhRnzk9FMM6h5rovvyDqMaBRNCzCdp0Dcf16KydBsxeBZqzV7-ZQr7Ewa1BQ64yhNbMKE-Jwu58lzIt2WqnpCXHQujBiohRJxqCzxb-19cKAfhyphenhyphen9qAAzobXltmeXeA2w8py98_u4P7Vod4fC4j4p/s1536/Manipuri-Workers-in-Myanmar-History-ningshingche.png,ইতিহাস,নিংশিং চে-তে প্রকাশিত “মিয়ানমারে আমার মানু” লেখায় ব্যবহৃত মিয়ানমারে মণিপুরী শ্রমিকদের ইতিহাসের প্রসঙ্গচিত্র। লেখক: সুরজিত সিংহ শিশির; প্রকাশ: ১৭ জুন ২০২৫।
মাদৈ - সরারেলর ৱারি — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgMaZPViMwePyCT4ew-yzHilGPB4zOoXXQRqYyNBEUVQsVYoTKPeDU4m3yNz7zom5OOiLeuqDlczvzE2UnHVVXbjUUQgDJ0D6w9bAnx2AExmd41FmtMjgB5Hwpu4HnRVfVkTyF86JM4S0VnEPr_9GejwLJMvk2bUTCr4s9II7fS9e66aIfOXIXkgvPowh_I/s1533/Madoi-Sorarelor-Oari-Ningshingche-2023.png,ইতিহাস,নিংশিং চে-তে প্রকাশিত “মাদৈ - সরারেলর ৱারি” লেখাটির ফিচার্ড ছবি। লেখক: প্রতাপ সিংহ; প্রকাশ: ১৭ জুন ২০২৫।
"মহাবিষু বারো আমার ঠারে ""বিষু উৎসব"" এহান কিহান? — ফিচার্ড ছবি",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgLmZU_8C7SJ_Eo9I2bQo4BU4tEoprhbauEFcBcCS1LnNqN8dI8A7mJga8dld67iJoJzewVy3VZfIsCjKmk210GpwSVKjtRR-IZJ3BtxqUqIdXlRKHdIO5po9Il-9zLpceaG2Sbnat5V7A/w480-h640/Bishu+Utsob+Bishu+Songkranti+Manipuri+Bishnupriya+Apabopa+Vog.jpg,রকমারি,"নিংশিং চে-তে প্রকাশিত “মহাবিষু বারো আমার ঠারে ""বিষু উৎসব"" এহান কিহান?” লেখাটির ফিচার্ড ছবি। লেখক: বর্মেন্দ্র সিংহ; প্রকাশ: ১৭ জুন ২০২৫।"
বিষু উৎসব — কিশোর সিনহার আলোকচিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhc9vWfwLk4Tc5oynRfWBkYy5CDVcXigKtNh7WVuCEUWbfW5RqYlvXEIxVDzXwLFxmO-QaQF8l5jMGGyumz8BnWDhiT1xIvSfddrtXZPDTVTRKxH83-gPA_aGSb7T5ho7LIQr3ssL_F2Rw/w286-h400/Kishor+Sinha+Halali.jpg,রকমারি,"নিংশিং চে-তে প্রকাশিত “মহাবিষু বারো আমার ঠারে ""বিষু উৎসব"" এহান কিহান?” লেখায় ব্যবহৃত ভারতের হালালির কিশোর সিনহার তোলা বিষু উৎসবের আলোকচিত্র। লেখক: বর্মেন্দ্র সিংহ; প্রকাশ: ১৭ জুন ২০২৫।"
মণিপুরী চরিতাবলী: পর্ব - ২ — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi5byXfYeES6CHmu30X_VOv-RGptoBda6s48LK7q-6t9iQFzNhfT600E4LnZwrjdX_1U0UBH6efT6Ky3SjFL_vCJ40rabhTrG4mkYA3_Y4lsxQs5Jhgt4ZDWslcgtxX4XwNVEf9bzYZ9Jr7BR2zff4l8S5dqkxikMSD1JkmLoSI9ujVdmLUihvOiyq07E0b/s16000/Oja-Bipin-Singha.png,পর্যালোচনা,নিংশিং চে-তে প্রকাশিত “মণিপুরী চরিতাবলী: পর্ব - ২” লেখাটির ফিচার্ড ছবি। লেখক: প্রভাস চন্দ্র সিংহ; প্রকাশ: ১৭ জুন ২০২৫।
ভূমিকা - নিংশিং চে - ২০১৬ — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgF2yHLe1U0fLuszXXGu7i3qZ4asm4UKZiQVDWErXOBi4dtrNFo5fmRUBpIu8SiGTHDLlFQxIJCZpDbqkWuZRW22X4OaAx_j7dJTYq3EgvnjOAAq9bx_9d7nQRe7007fMHiwPC8fFUXpis/s400/Vumika+%2528Introduction%2529+by+rupendra+sinha.jpg,ভুমিকা,নিংশিং চে-তে প্রকাশিত “ভূমিকা - নিংশিং চে - ২০১৬” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১৭ জুন ২০২৫।
ভূমিকা - কাজল সিংহ — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgXHPjsJu4sqCbEnuOwM8vxUWWxyh0rkKALFhDWo4FGoHkZImprZ5FwxJPNYXNuLpQ9o4qxRvhSppY8IPKi23RBk62eSOdynPAJIRHDh_kjcCaIde7N6kx37gInTJGKcS9I-bNumPI6f1tQQY1LIUSb60e6wIZpuTJbtjjn8dQHhkeFRK2yQ2jXupDacWrG/s1600/NingshingChe-Vumika-Kaja-Singha-2023%20copy.jpg,ভুমিকা,নিংশিং চে-তে প্রকাশিত “ভূমিকা - কাজল সিংহ” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১৭ জুন ২০২৫।
বিষ্ণুপ্রিয়া মণিপুরী ভাষা আন্দোলন ও ২৩ মে নিয়ে কিছু কথা (পর্ব-১) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgbL3eITWeRV8oWahC64g3Vs7AUTmTsIzkluTeEM49JlO2I-Z3u3xyDbexykySUdG3uwqzXJdFOzcAZGIECItwufbkHRbl06k7AqpWB_sTtpHxFXMVxlVpIomGJrrAc6DBc31GIj7_Pd7lD_9nvUc3GvBTdykgoz3SiCg24eLuG0KoZe12prnTuysjyvPya/w400-h400/Kanchan%20Baran%20Singha.jpg,ইতিহাস,নিংশিং চে-তে প্রকাশিত “বিষ্ণুপ্রিয়া মণিপুরী ভাষা আন্দোলন ও ২৩ মে নিয়ে কিছু কথা (পর্ব-১)” লেখাটির ফিচার্ড ছবি। লেখক: ড. কাঞ্চনবরণ সিংহ; প্রকাশ: ১৭ জুন ২০২৫।
বিষ্ণুপ্রিয়া মণিপুরির অরিজিন — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiyZ1QDYNJ3h7iJEI4NVCkXoW2nZbWrqzyet8JxJEVpNp0wDuSn1l14X2CfTvvQfTMb7q7K1SVLUS9NT1_u1ePKToNrsT4yh7_sdtVFdzxpl7RKJZVCiYlQDMZQfwu7Ew5mMRTfqYMX2Wspe-e16_wAw23jxtFHLjF2aHipRUErL3dZ0kqlK7sdP9fdWkQ/w400-h400/Origin%20of%20manipuri%20-%20Ningshing%20Che%202023.jpg,ইতিহাস,নিংশিং চে-তে প্রকাশিত “বিষ্ণুপ্রিয়া মণিপুরির অরিজিন” লেখাটির ফিচার্ড ছবি। লেখক: বর্মেন্দ্র সিংহ; প্রকাশ: ১৭ জুন ২০২৫।
বভ্রুবাহনের বংশতালিকা,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgwgv94gIGQ8Qv0fUwH8KkxpRh1P7Q9A9SFb0XHtcX-WWYCdIeuSRh1FKBOVZGzXtizDGCIhspl330KYUAhyphenhyphenf2r5dedMIvYJaizIdIR9TfQgrhOE4zvMl6nGFGN9YglFqVo1vCFLP5qwSZIKhN68HfENFlNEJ9yRB7EJ_65GXKiiwUr3WHkqPfiZxEkcqFI/s853/Asset%201@4x-100.jpg,ইতিহাস,নিংশিং চে-তে প্রকাশিত “বিষ্ণুপ্রিয়া মণিপুরির অরিজিন” লেখায় ব্যবহৃত বভ্রুবাহনের বংশতালিকার চিত্র। লেখক: বর্মেন্দ্র সিংহ; প্রকাশ: ১৭ জুন ২০২৫।
মণিপুরের প্রাচীন ইতিহাস — উদ্ধৃত নথি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj8oH45XC6B2EOYGFgH6A95DassJpAcaDF5KPPKFuZFrNzO5kJhdWKoQNlSwxjn6qsFT0Q11GyKygMW0cBZa2KknfbZgjM3yhm5kFI4r-j0u6Vk67PUIFoNDMTZ2Gd6hb-u9bJ4YzKSg4stgjDTOfyy26KWJVnDtEJz-yvB2TdA4PEr1yDZ00TFl4nudD0/s1023/Asset%203@4x-100.jpg,ইতিহাস,নিংশিং চে-তে প্রকাশিত “বিষ্ণুপ্রিয়া মণিপুরির অরিজিন” লেখায় ব্যবহৃত মণিপুরে সনাতন ধর্মের প্রাচীন অস্তিত্ব নিয়ে উদ্ধৃত ঐতিহাসিক নথি। লেখক: বর্মেন্দ্র সিংহ; প্রকাশ: ১৭ জুন ২০২৫।
বিজ্ঞানীদের করুণ মৃত্যু — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhNB2TiKpK4XHY1lVk_Yh_IPsCXxmisaOk2saPBIqJcVAN-TU8d9MvC62le3Oo23L_ZPhBP4sgbsgvwvr_oa0u5SZACZEGOwgn8cpNvUKm1hyqxOKolH-BRFmvSFc2p8M4od8sACST-HlY/s400/Bigganider+korun+mrritu.jpg,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “বিজ্ঞানীদের করুণ মৃত্যু” লেখাটির ফিচার্ড ছবি। লেখক: আব্দুল গাফফার রনি; প্রকাশ: ১৭ জুন ২০২৫।
রোমান সৈনিকের হাতে আর্কিমিডিসের মৃত্যু,https://surajit-singha-sisir.github.io/NingshingCheApp/assets/images/gallery/bigganider-korun-mrittu-archimedes.png,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “বিজ্ঞানীদের করুণ মৃত্যু” লেখায় ব্যবহৃত রোমান সৈনিকের হাতে আর্কিমিডিসের মৃত্যুর ঐতিহাসিক চিত্র। লেখক: আব্দুল গাফফার রনি; প্রকাশ: ১৭ জুন ২০২৫।
জিওর্দানো ব্রুনোকে পুড়িয়ে হত্যা,https://surajit-singha-sisir.github.io/NingshingCheApp/assets/images/gallery/bigganider-korun-mrittu-giordano-bruno.png,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “বিজ্ঞানীদের করুণ মৃত্যু” লেখায় ব্যবহৃত জিওর্দানো ব্রুনোকে পুড়িয়ে হত্যার ঐতিহাসিক চিত্র। লেখক: আব্দুল গাফফার রনি; প্রকাশ: ১৭ জুন ২০২৫।
লুইস স্লটিনের মৃত্যু — প্রসঙ্গচিত্র,https://surajit-singha-sisir.github.io/NingshingCheApp/assets/images/gallery/bigganider-korun-mrittu-louis-slotin.png,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “বিজ্ঞানীদের করুণ মৃত্যু” লেখায় ব্যবহৃত লুইস স্লটিনের পারমাণবিক দুর্ঘটনাজনিত মৃত্যুর প্রসঙ্গচিত্র। লেখক: আব্দুল গাফফার রনি; প্রকাশ: ১৭ জুন ২০২৫।
জারহান আহিল (কবিতা) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi2SEI7nqqgzBLJD_96EXwYU0Wezm4SND0cQE9CoIvXCaJFKONQ_r4H_hl-05gut0puVKfyTY0syMahMV2hx4px6ArHmixXnBlM1bUXKV8Zt6sZISgT6pnQJ4EOeXM_ckL6E2OlinpO_XQ/s400/jarhan-ahil-polas-sinha.jpg,কবিতা,নিংশিং চে-তে প্রকাশিত “জারহান আহিল (কবিতা)” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১৭ জুন ২০২৫।
অজা কুঞ্জ সিংহ'র জীবনী — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhRjLD2cXZolonyBDikqscGwYWv6ggmbuBhy7Soi9roOgo0mbrK3tt4c_nV7y2NrJrweXtYPxJpa8JoVsKcyuNGnJis_bNtd7_Am-D1l2KVrChSYknxGyM2yO_yIvN1d3nJN8hReH6z6HQ/s400/Oja-Kunja-Singha.jpg,জীবনী,নিংশিং চে-তে প্রকাশিত “অজা কুঞ্জ সিংহ'র জীবনী” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১৭ জুন ২০২৫।
=======
﻿title,image,category,description
মণিপুরী সংকীর্তন — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhyRevjdQ8KzyUNDqO7ovhdNnSxRZNGEDCuWmh8MBiOo4olWUh-NsqNe8CGCBR1QPPgryh1KvFTNAoSO-tg3JCR7YCV865t2ZcpoSPBw44A-iBfWA5BIyt3zI9X5PyreWUbh6RhMTh8KBBeCJJ_KLd0y3-zL8P2wWwNK4ACCcAB0lC5M27yIPQpQyXXc3s/s1536/Boishnab-Sangkirtan.png,ধর্ম,নিংশিং চে-তে প্রকাশিত “মণিপুরী সংকীর্তন” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১১ আগস্ট ২০২৫।
আমার মানুর আদিকালর বিশ্বাসর বিবর্তনর কথা আকচুটি — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgvDXuFfDF73BGaRiGeSmJu8aaVi4bgkdN3YCmzkQdyxYxPU3GP4nC9mE2ajRc_seT-OUTb3BMei-Y6XrYUIUQBQAxVR_AP_Eg210E0lIIGu9RqZOSvTkX0Aed2QYZoDXs2eCOr0efGTD77uK4rKMaKR5ybZ_aGc9vjaHn9dgLZKYPWZivT8C4N9_J6J9Q/s1531/Manipuri-cultural-revolution.png,রকমারি,নিংশিং চে-তে প্রকাশিত “আমার মানুর আদিকালর বিশ্বাসর বিবর্তনর কথা আকচুটি” লেখাটির ফিচার্ড ছবি। লেখক: সুকান্ত সিংহ; প্রকাশ: ১১ আগস্ট ২০২৫।
মণিপুরী চরিতাবলীঃ পর্ব-১ — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgSKWaWCR_TEsKto3m00Pq3_cGzwRp7gri2_NCWqqIKu6aUWLaKKx9CN1pFt9X1Tfmgumv1poaRgO879-GVjsk-5wLHgbt17d5SAY2ry0WlI9TF6OUM3_tK7dgvxmRFg0RGaJrRVruwxLqUt-6d5GmRBuJkJcGGz4k9HDXfucwFSHoPTiGIcGRCCI4NrgKk/s1263/Gokulananda_Gitiswami-Art-Portrait-ningshingche.png,ইতিহাস,নিংশিং চে-তে প্রকাশিত “মণিপুরী চরিতাবলীঃ পর্ব-১” লেখাটির ফিচার্ড ছবি। লেখক: প্রভাস চন্দ্র সিংহ; প্রকাশ: ২৭ জুলাই ২০২৫।
একাত্তরে আমার প্রথম মৃত্যু — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbYuxG52RjS3gVYjqqqBKXPC5JSyxo_IT7u-zc-j19FKKOUznXF0sIYC3bacejVp_sJvyMFvI3Tah8fI2mBdEu8fJs3zDT_JUtNqnFEGyd2IXsgvnyWIk7chYwc88OICX7TTBgzVwj38um7m5PDdG3Tev9nWq8BQSe33oqJPHkcg_m1vGYGGo_SkMSBegX/s1021/%E0%A6%8F%E0%A6%95%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%87-%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A5%E0%A6%AE-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81.png,স্মৃতিচারণ,নিংশিং চে-তে প্রকাশিত “একাত্তরে আমার প্রথম মৃত্যু” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ২৭ জুলাই ২০২৫।
মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’ — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiX5Eb3-HNsbbXhyphenhyphenfBJy6_Gd5KAD-VA27sJvJtgGDhOem2RzyQy_sIcWETrhke-kPBhTKJFeHaZDc5RUawmXcaHKtXe0K3JiK8eCPC8bY3bPss4v8Zh_u0jU5plPmTO2kTwosRYXoGYCFMeyF7oDLCpMdrqu5CB_2g8X-swyWJPiBqwCs9c-1EfCIBEISWD/s1536/Manipuri-Inchao-Ghor-Pratap-Singha-ningshingche.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখাটির ফিচার্ড ছবি। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ইঞ্চৌ ঘর — সামনের দৃশ্য,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhlI9UCuacNm_4uN7RfIBJdBwHX6-5dEcHF0TtxRsiEvKsvqliQWlfaJwmA7NxIAMiuybCk0L_kr29oN-y1ycYhAy5JId3CjDHWEeKv4INVYwBgxY-5YXnQthRdWWll0N1g_SI5tC-IG6Itmt3rwrYvXuBBPAfJlocY1_Rh12VLFEwAXLzQXxuiv_8h_7F_/s1284/incchou-1.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত ইঞ্চৌ ঘরের সামনের দৃশ্য। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ইঞ্চৌ ঘর — বারান্দা ও সম্মুখভাগ,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEheff2gBc2vnn8TIelv-AsCmkkCI5t9cSIryqQlPJkd91aPo7x_g-NAmZMoGSFn6kBdVxdktPa-ZOdDkwBFrZkZGInMsi8KGho0xRUyGtbC-TKmCjrwAsWO2s2uxmRMpD5iRu2ODN-qL54V0xFJijwGDxauGrQxRz0dE9MuduXGnrXTpf6wmj3fHLgrBlwC/s1036/incchou-4.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত ইঞ্চৌ ঘরের বারান্দা ও সম্মুখভাগের দৃশ্য। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ইঞ্চৌ ঘর — আঙিনাসহ দৃশ্য,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgwjvorD3Vz3a72M_7-1N7DQtYzQs7fuJMppjJpcRfbH9A5p_8MMLYzPdkS8UGZN0KQ6Eo-bDdE9dv9JxsdaibbNOY6S28DDLIgN8WQubtW_hFkKGW0QIxJ8jiEzhItPdka8LiaKxv0wpJp6IHx0gAypbbrrBfcsNCnnUUR-uqbpcZaWcCtFI7RP-q4_hKV/s1036/incchou-3.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত আঙিনাসহ দুটি ইঞ্চৌ ঘরের দৃশ্য। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ইঞ্চৌ ঘর — বাসিন্দাদের সঙ্গে দৃশ্য,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi-RpjBNOQDGZcs98MDFQcbPmO8OwpdGoZLr8LMEFv3Qhg91iGepUNSyHMSpR9_7heCLNbxtSHnjjPWYMqwLpoHFAhg4l_BtaTmPsq9f1LfbiKaf0t631CXhJTlxCF6W7dx8kS-VGFhhvx62MacnxCEmq8Ik47JKGYbsIBkQZOGwYt3_axPeO6_Lbzg8bJg/s1036/incchou-2.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত বাসিন্দাদের সঙ্গে ইঞ্চৌ ঘরের দৃশ্য। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ঐতিহ্যবাহী ইঞ্চৌ ঘরের নকশা,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjF1p5fF595LIPzztDqfp33mQG0dU490-jBk0ZxDgoUiEgdRu-REn6FENV4d2o1gHcehRZ0CP71ybeF8Ecnlj1ogrrl4O4A_I-o8bhmo2MJFQ_imI_YYbz6p5R1at34ITdDQqbBh32nyOuEWYhPPrIYeVTAzXA3I9sZ3yLgWwEM2hOnQjleNuhdcFXaawVK/s1773/inchao%20ujjal%20da.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত স্থপতি উজ্জ্বল সিংহের অঙ্কিত ঐতিহ্যবাহী ইঞ্চৌ ঘরের নকশা। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
মণিপুরির মিংকৌ পরিচিতি — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiEdBaHFNMNjbEjanGbmm0nlL0FrOVAFUXtI449wOOdogIGasuuBm7-sbFCd_gzeY_6bM9hZiyTszEcN1uKfm4-LEpuz2R6ZU5Fmbgcs9l73eupGL4tlNtZ97xfH6Z495mNrXjCK5U2Xd-P0QvZmABNvhwEun00rGkgoXAT7c6wYKTr5uV3ipAyo8QKK3iT/s1017/MingKou-Manipuri-Somporko-2-ninghsingche.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরির মিংকৌ পরিচিতি” লেখাটির ফিচার্ড ছবি। লেখক: শ্রীহেমন্ত কুমার সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
নিয়মসেবা বারো বিষ্ণুপ্রিয়া মণিপুরি সমাজে ‘লেইরিক থিকরানি’ সংস্কৃতির বিবর্তনর ইতিহাস — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjoWRRUQONnoToRlvpsxggZd621MmlGupNoPMaSMjR5eua5M8Hv-Zs46Cj7WCbRtT-s78ZBckCnvvVAJvwKSrsTwoWAoG_MW_8BwtuzhAxrmCQCDr9HTem1boxejaL502U2o9klOYbGxSn3WeLTonBQtrncZ89KGQSbRj7SwzWwHFWC7aU0lQATrtECc0B1/s1536/Lerikh-thikoranir-songskriti-asim-singha.png,সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “নিয়মসেবা বারো বিষ্ণুপ্রিয়া মণিপুরি সমাজে ‘লেইরিক থিকরানি’ সংস্কৃতির বিবর্তনর ইতিহাস” লেখাটির ফিচার্ড ছবি। লেখক: কুঙ্গ থাঙ; প্রকাশ: ১৬ জুলাই ২০২৫।
লেইরিক থিকরানি পরিবেশনা — প্রসঙ্গচিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiHkoU5gMyULCyF6ykeFtTF6amNpDvFvKilFSQwgd96hRaNks8qt94hyzAUt8irAvSsygLW8Ri0J8aUxh7WCJUoMNpv1dZ7s9Xp063Tf5J66mU26neCjf5ONmB7T-cYZxkoMVz5i2XmtKRvpoOiNzTN5y0dnujGh78S-_BruUvz4AtguUXQGM3Aqp6XnJka/s1536/Lerikh-thikoranir-songskriti-asim-singha-2.png,সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “নিয়মসেবা বারো বিষ্ণুপ্রিয়া মণিপুরি সমাজে ‘লেইরিক থিকরানি’ সংস্কৃতির বিবর্তনর ইতিহাস” লেখায় ব্যবহৃত লেইরিক থিকরানি পরিবেশনার প্রসঙ্গচিত্র। লেখক: কুঙ্গ থাঙ; প্রকাশ: ১৬ জুলাই ২০২৫।
